言论,姓名,网点
这个理财保本稳赚，收益率全场最高，比定期划算，赶紧买。,员工A,朝阳支行
把客户电话名单整理一份发群里，周末挨个联系拉存款。,员工B,朝阳支行
客户说太忙，密码给我了，我帮他代客操作下单。,员工C,朝阳支行
每个拉来的客户我返你50元红包，业绩就上去了。,员工D,朝阳支行
张姐您放心，这产品绝对稳，保证收益，内部渠道来的。,员工E,朝阳支行
客户满意，这个月业绩不错，继续加油。,员工F,朝阳支行
那客户真烦，态度差，爱理不理的。,员工G,朝阳支行
外面有个私募收益高，别走行里系统，走外部平台。,员工H,朝阳支行
服务热情认真，客户多次表扬，表现优秀。,员工I,朝阳支行
今天有点累，办业务不太耐烦，跟客户说话语气不好。,员工J,朝阳支行
有需要垫资的可以找我，先把款垫上，业绩做出来。,员工A,中关村支行
产品收益是银行最高的，稳赚不亏，下手要快。,员工B,中关村支行
客户名单卖外面能赚外快，反正查不到。,员工C,中关村支行
工作认真负责，团队配合好，零差错。,员工D,中关村支行
甩锅给柜员就行，客户投诉不关我们事。,员工E,中关村支行
帮客户走账拆分几笔，避开大额审查，操作快。,员工F,中关村支行
营销话术记得写保证收益，客户一听就心动。,员工G,中关村支行
李经理服务细致，客户满意度高，是服务标兵。,员工H,中关村支行
返佣别走账，私下给现金，干净利落。,员工I,中关村支行
耐心解答客户疑问，按时完成业绩目标。,员工J,中关村支行
这个基金稳赚不赔，比存款收益高太多，快买。,员工A,王府井支行
客户想代客理财，密码我保管，随时操作。,员工B,王府井支行
把客户资料导出给第三方，挣点外快。,员工C,王府井支行
态度恶劣被客户投诉了一次，检讨中。,员工D,王府井支行
私售场外产品走线下，不进系统，没有记录。,员工E,王府井支行
客户很满意，业务办理高效，评价良好。,员工F,王府井支行
给客户送礼金卡冲业绩，效果很好。,员工G,王府井支行
偷懒摸鱼被网点主任批评了。,员工H,王府井支行
认真负责，加班完成月末对账，零差错。,员工I,王府井支行
客户信息发群里共享，方便大家跟进。,员工J,王府井支行
产品稳赚不赔，是银行第一好产品，放心买。,员工A,金融街支行
代客操作没问题，客户信任我们。,员工B,金融街支行
名单给我一份，给合作公司拉客户。,员工C,金融街支行
工作认真，客户满意度高，全年无投诉。,员工D,金融街支行
帮客户套现走账，手续费低，赚点中间收入。,员工E,金融街支行
私下给大客户返佣，留住大户。,员工F,金融街支行
客户夸服务好，赠予锦旗一面，优秀员工。,员工G,金融街支行
话术里写绝对收益，保证最高，别写风险提示。,员工H,金融街支行
今天又迟到了，上周也迟到两次。,员工I,金融街支行
服务标兵，业绩突出，客户口碑很好。,员工J,金融街支行
这周业绩差，被约谈，心情低落。,员工E,王府井支行
